id,subject,unit,topic,difficulty,blooms,marks,type,question,options,answer


DSA_M1,DSA,1,Basics,E,Remember,1,MCQ,Which keyword defines a function in Python?,"[""def"",""func"",""define"",""lambda""]",def
DSA_M2,DSA,1,Arrays,E,Remember,1,MCQ,Which index does a Python list start with?,"[""1"",""0"",""-1"",""None""]",0
DSA_M3,DSA,1,Searching,E,Remember,1,MCQ,Which search works on sorted arrays?,"[""Linear"",""Binary"",""DFS"",""BFS""]",Binary
DSA_M4,DSA,2,Stacks,E,Remember,1,MCQ,Stack uses which principle?,"[""FIFO"",""LIFO"",""LILO"",""FILO""]",LIFO
DSA_M5,DSA,2,Queues,E,Remember,1,MCQ,Queue follows which principle?,"[""LIFO"",""FIFO"",""Random"",""Stack""]",FIFO
DSA_S1,DSA,2,Stacks,M,Understand,2,SA1,Define a stack with two applications.,,LIFO
DSA_S2,DSA,2,Queues,M,Understand,2,SA1,Explain the difference between queue and deque.,,Explanation
DSA_S3,DSA,3,Linked List,M,Understand,2,SA1,Define linked list.,,Definition
DSA_S4,DSA,3,Trees,M,Apply,2,SA1,What is a binary tree?,,Definition
DSA_S5,DSA,3,Heaps,M,Apply,2,SA1,Define max heap.,,Definition
DSA_L1,DSA,4,Sorting,H,Analyze,10,LA,Explain merge sort with example.,,Explanation
DSA_L2,DSA,4,Graphs,H,Analyze,10,LA,Explain BFS algorithm.,,Explanation
DSA_L3,DSA,4,Graphs,H,Analyze,10,LA,Explain DFS algorithm.,,Explanation
DSA_L4,DSA,5,Dynamic Programming,H,Create,10,LA,Explain dynamic programming using Fibonacci.,,Explanation
DSA_L5,DSA,5,Trees,H,Analyze,10,LA,Explain AVL tree rotations.,,Explanation
DB_M1,DBMS,1,SQL,E,Remember,1,MCQ,Which SQL clause filters rows?,"[""WHERE"",""GROUP BY"",""ORDER BY"",""HAVING""]",WHERE
DB_M2,DBMS,1,ER,E,Remember,1,MCQ,ER stands for what?,"[""Entity Relationship"",""Entity Record"",""Extended Relation"",""None""]","Entity Relationship"
DB_M3,DBMS,1,SQL,E,Remember,1,MCQ,Which command deletes table data but not structure?,"[""DROP"",""DELETE"",""ERASE"",""REMOVE""]",DELETE
DB_M4,DBMS,2,Keys,E,Remember,1,MCQ,Which key uniquely identifies a row?,"[""Primary Key"",""Foreign Key"",""Candidate"",""Super Key""]","Primary Key"
DB_M5,DBMS,2,Joins,E,Remember,1,MCQ,Which join gives matching rows?,"[""INNER"",""LEFT"",""RIGHT"",""FULL""]",INNER
DB_S1,DBMS,2,ER,M,Understand,2,SA1,Define entity with example.,,Definition
DB_S2,DBMS,2,ER,M,Understand,2,SA1,Define attribute.,,Definition
DB_S3,DBMS,3,Normalization,M,Apply,2,SA1,What is normalization?,,Definition
DB_S4,DBMS,3,Indexing,M,Apply,2,SA1,Why are indexes used?,,Explanation
DB_S5,DBMS,4,Transactions,M,Apply,2,SA1,Define ACID properties.,,Definition
DB_L1,DBMS,4,Transactions,H,Analyze,10,LA,Explain ACID properties with examples.,,Explanation
DB_L2,DBMS,5,Concurrency,H,Analyze,10,LA,Explain locking in DBMS.,,Explanation
